"Transmitter","number_of_detections","first_detection","last_detection","animal_short_name","Transmitter_SN","tag_family","when_encountered","capture_method","tag_lat","tag_lon","tag_location","sex","TNL_cm","SciName","est_tag_expiry_date","Owner","standard_length_cm","disk_length"
"A69-9001-4328",765,2020-07-20 20:13:42,2021-01-01 11:12:35,"2020-16",1342049,"V16-4x-069k-2",2020-04-26,"dart",34.404,-119.5475,"Carpinteria","F",315,"Carcharodon carcharias","4/25/2024","Chris Lowe",NA,NA
"A69-1602-9722",691,2018-07-19 18:45:01,2019-04-09 22:00:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-22777",651,2017-06-20 07:46:17,2020-01-14 07:42:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-1602-12253",612,2023-09-23 16:16:03,2023-09-28 00:03:01,"DDT-BR-23-08",1307112,"V13-1x-BLU-1",2023-09-19,NA,NA,NA,"Channel Islands","F",NA,"Myliobatis californica",NA,"Chris Lowe",NA,115
"A69-9001-24596",594,2016-07-20 19:36:13,2019-08-11 12:46:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9001-4324",585,2020-07-20 19:33:24,2021-11-22 03:45:27,"2020-12",1342045,"V16-4x-069k-2",2020-04-26,"dart",34.404,-119.5475,"Carpinteria","F",230,"Carcharodon carcharias","4/25/2024","Chris Lowe",NA,NA
"A69-9001-24661",581,2015-07-10 15:01:28,2016-08-11 09:57:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9002-4561",557,2021-08-28 00:32:31,2022-02-15 23:00:03,"2021-35",1370687,"V16P-6x-BLU-2-0680m",2021-08-02,"dart",34.4136,-119.56364,"Carpinteria","F",183,"Carcharodon carcharias","11/18/2027","Chris Lowe",NA,NA
"A69-9001-24665",485,2016-10-01 05:41:42,2022-08-18 01:07:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
"A69-9006-7849",480,2020-07-20 19:34:04,2021-01-15 05:54:41,"2020-21",1342087,"V13P-1x-069k-3-0034m",2020-05-21,"dart",34.404,-119.5475,"Carpinteria","U",183,"Carcharodon carcharias","1/13/2021","Chris Lowe",NA,NA
"A69-1602-16718",464,2020-10-15 17:51:42,2020-12-08 21:03:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-4326",436,2020-07-20 19:30:07,2020-12-12 14:40:18,"2020-15",1342047,"V16-4x-069k-2",2020-04-26,"dart",34.404,-119.5475,"Carpinteria","F",217,"Carcharodon carcharias","12/19/2021","Chris Lowe",NA,NA
"A69-9001-22770",401,2017-01-26 13:22:13,2019-08-07 02:34:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeorhinus galeus",NA,NA,NA,NA
