"Transmitter","when_encountered","date_first_detected","date_last_detected","TNL_cm","YOY_detections","Juvenile_detections","Adult_detections"
"A69-9004-14394",2021-08-27,2021-08-31,2021-10-29,228,0,16,0
"A69-9004-14395",2021-08-27,2021-08-31,2021-10-30,228,0,16,0
"A69-9004-12228",2022-10-20,2022-12-28,2023-02-16,228.6,0,35,0
"A69-9001-4332",2020-05-06,2020-09-25,2021-11-30,229,0,354,0
"A69-1602-8672",2020-09-03,2020-09-05,2021-10-14,230,0,89,0
"A69-9001-4324",2020-04-26,2020-07-20,2021-11-22,230,0,585,0
"A69-1602-3237",2020-07-31,2020-07-31,2020-10-29,239,0,153,0
"A69-1602-3228",2020-09-04,2020-09-07,2021-10-16,243,0,953,0
"A69-9001-4343",2021-03-24,2021-03-24,2021-04-30,243,0,50,0
"A69-9001-62299",2021-10-16,2021-10-17,2021-11-17,243,0,30,0
"A69-9001-63062",2021-07-29,2021-08-01,2021-10-26,243,0,26,0
"A69-9004-14392",2021-08-27,2021-09-13,2022-01-10,243,0,21,0
"A69-9004-14393",2021-08-27,2021-09-13,2022-01-10,243,0,19,0
"A69-9006-7850",2020-07-16,2020-07-20,2021-03-15,243,0,186,0
"A69-9006-7852",2020-07-15,2020-08-08,2020-08-12,243,0,18,0
"A69-9004-12181",2022-09-02,2023-01-16,2023-09-26,243.8,0,8,0
"A69-9004-12199",2022-09-26,2023-03-19,2023-03-20,243.8,0,3,0
"A69-9001-4336",2020-08-25,2020-08-31,2022-10-11,244,0,92,0
"A69-1602-8671",2020-09-04,2020-09-05,2020-10-26,259,0,47,0
"A69-9001-4330",2020-05-06,2020-07-21,2020-08-20,259,0,78,0
"A69-9001-4331",2020-05-21,2020-07-22,2021-04-17,259,0,290,0
"A69-9001-8575",2020-01-15,2020-07-23,2021-03-22,259,0,123,0
"A69-9001-8577",2020-01-15,2020-01-30,2020-01-30,259,0,2,0
"A69-9004-12213",2022-04-15,2022-05-17,2022-05-25,268.2,0,4,0
"A69-9001-63057",2021-09-10,2021-09-09,2021-12-03,274,0,85,0
"A69-9002-4559",2021-08-13,2021-08-21,2021-11-11,274,0,133,0
"A69-9004-12231",2022-06-15,2022-07-11,2022-07-30,274,0,4,0
"A69-9001-8566",2019-10-07,2020-02-21,2020-02-22,274.32,0,7,0
"A69-1601-37966",2017-06-02,2018-05-26,2018-06-02,275,0,8,0
"A69-9007-608",2021-08-27,2021-08-28,2021-11-17,289,0,158,0
"A69-9007-609",2021-08-27,2021-08-28,2021-11-17,289,0,172,0
"A69-9001-8565",2019-10-07,2020-05-07,2021-03-19,289.56,0,30,0
"A69-9001-8568",2019-09-25,2020-11-11,2021-12-06,304.8,0,6,1
"A69-9001-4342",2020-09-04,2020-09-06,2021-10-14,305,0,189,0
"A69-9002-4560",2021-08-02,2021-09-13,2021-11-26,305,0,84,0
"A69-9002-4562",2021-08-12,2021-08-13,2023-03-02,305,0,329,0
"A69-9001-4328",2020-04-26,2020-07-20,2021-01-01,315,0,765,0
"A69-9004-12219",2023-09-15,2023-10-20,2023-10-20,335.3,0,0,6
"A69-9001-4985",2020-01-15,2020-07-25,2020-07-29,366,0,0,7
