Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-9007-613,2021-15,1362767,V13TP-1x-BLU-3-0034m,dart,34.41528,-119.5614,Carpinteria,M,1/18/2022,Chris Lowe,NA,NA,Carcharodon carcharias,183,2021-05-04,2022-02-22T12:11:15Z,2021-05-06T17:14:41Z,46
A69-1601-30031,2017-09,1144531,V16-6x-069k-1,strikenet,33.746748,118.128611,Unknown,F,9/11/2025,Chris Lowe,NA,NA,Carcharodon carcharias,176,2017-05-17,2021-06-13T12:09:30Z,2020-12-18T21:06:32Z,45
A69-9001-24584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2016-08-16T18:47:36Z,2015-11-19T00:34:09Z,45
A69-9001-8565,2019-13,1301906,V16-4x-069k-2,dart,35.20901,-120.86189,Diablo Canyon,U,6/25/2025,Chris Lowe,NA,NA,Carcharodon carcharias,289.56,2019-10-07,2021-03-19T15:08:57Z,2020-05-07T03:01:49Z,44
A69-9002-3591,2021-22,1382586,V16TP-6x-BLU-2-0204m,dart,34.39888,-119.545,Carpinteria,F,5/31/2031,Chris Lowe,NA,NA,Carcharodon carcharias,183,2021-06-02,2022-01-06T07:39:41Z,2021-07-20T10:08:24Z,42
A69-1602-16711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-03T18:32:53Z,2019-05-30T16:18:52Z,41
A69-9001-24663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2018-07-25T10:18:27Z,2015-07-10T08:33:06Z,41
A69-1601-36266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stereolepis gigas,NA,NA,2016-07-02T22:02:46Z,2016-05-24T20:21:21Z,40
A69-1303-45049,2017-08,1104202,V16-6x-069k-1,strikenet,33.745119,-118.11974,Unknown,F,8/29/2025,Chris Lowe,NA,NA,Carcharodon carcharias,182,2017-05-10,2019-06-04T11:31:03Z,2018-04-23T13:02:02Z,39
A69-1602-3229,2018-03,1276576,V13-1x-069k-3,dart,34.41,-119.556,Unknown,U,1/28/2020,Chris Lowe,NA,NA,Carcharodon carcharias,167,2018-04-15,2018-07-03T05:23:48Z,2018-05-26T03:04:42Z,39
A69-9001-13353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2021-10-06T08:03:59Z,2019-09-10T17:10:56Z,36
A69-9001-4341,2021-04,1342062,V16-4x-069k-2,dart,34.407222,-119.552222,Carpinteria,F,3/23/2025,Chris Lowe,NA,NA,Carcharodon carcharias,198,2021-03-24,2021-12-29T01:49:34Z,2021-03-24T20:42:53Z,36
A69-9004-12228,2022-87,1513521,V16P-6x-BLU-2-0204m,dart,34.468201,-120.195776,Gaviota,F,10/17/2032,Chris Lowe,NA,NA,Carcharodon carcharias,228.6,2022-10-20,2023-02-16T19:24:38Z,2022-12-28T01:03:04Z,35
A69-1602-16714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-18T19:23:22Z,2020-11-24T16:33:40Z,32
A69-1602-9717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-03T18:19:58Z,2018-07-19T18:44:11Z,32
A69-9001-12148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,2017-09-23,2018-09-21T13:29:09Z,2018-08-29T09:19:42Z,32
A69-1602-41962,2021-13,1362752,V13-1x-BLU-3,dart,32.951648,-117.270783,Del Mar,M,3/9/2022,Chris Lowe,NA,NA,Carcharodon carcharias,152,2021-04-01,2021-09-25T15:48:39Z,2021-04-26T15:28:35Z,31
A69-9001-55589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,305,2022-12-15,2023-02-20T08:28:50Z,2023-01-29T17:55:58Z,31
A69-9001-62299,2021-65,1394096,V16-6x-BLU-2,dart,34.402052,-119.546619,Carpinteria,F,10/14/2031,Chris Lowe,NA,NA,Carcharodon carcharias,243,2021-10-16,2021-11-17T04:54:38Z,2021-10-17T12:30:48Z,30
A69-1602-3235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-07-03T05:25:01Z,2018-05-26T03:03:26Z,29
A69-1602-16719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-03T18:16:39Z,2019-07-02T18:51:17Z,27
A69-9001-63062,2021-34,1382608,V16-6x-BLU-2,dart,34.4097,-119.55908,Carpinteria,F,7/27/2031,Chris Lowe,NA,NA,Carcharodon carcharias,243,2021-07-29,2021-10-26T16:24:54Z,2021-08-01T05:27:30Z,26
A69-9001-8558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2020-10-09T16:15:15Z,2020-07-12T12:54:41Z,26
A69-1602-12246,DDT-BR-23-04,1307105,V13-1x-BLU-1,NA,NA,NA,Channel Islands,M,NA,Chris Lowe,NA,73.5,Myliobatis californica,NA,2023-07-28,2023-10-09T18:58:59Z,2023-08-03T07:42:43Z,25
A69-9001-12144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,290,2017-11-10,2018-11-03T18:58:01Z,2018-08-29T13:43:32Z,23
A69-1602-9715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02T21:59:05Z,2018-07-19T18:45:27Z,22
A69-9001-22780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2021-10-30T08:15:01Z,2021-10-28T14:14:46Z,22
A69-9001-26864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2015-06-28T16:00:27Z,2013-12-17T18:45:08Z,22
A69-9001-4305,2022-35,1342066,V16-6x-069k-1,gillnet,34.15256,-119.22833,Ventura,F,7/2/2032,Chris Lowe,NA,NA,Carcharodon carcharias,146.9,2022-07-05,2022-07-25T13:38:32Z,2022-07-25T11:35:45Z,22
A69-9004-14392,2021-47,1394089,V16TP-6x-BLU-2-0204m,dart,34.410823,-119.558748,Carpinteria,M,8/25/2031,Chris Lowe,NA,NA,Carcharodon carcharias,243,2021-08-27,2022-01-10T19:52:42Z,2021-09-13T14:23:26Z,21
A69-1602-58097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-14T23:18:20Z,2022-11-04T12:37:04Z,20
A69-1602-58597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,411,2020-01-28,2021-05-04T05:47:57Z,2021-05-03T21:59:21Z,20
A69-9004-14386,2021-44,1394086,V16TP-6x-BLU-2-0204m,dart,34.307401,-119.553178,Carpinteria,F,8/25/2031,Chris Lowe,NA,NA,Carcharodon carcharias,213,2021-08-27,2022-11-27T22:34:34Z,2021-09-11T22:01:07Z,20
A69-9004-14387,2021-44,1394086,V16TP-6x-BLU-2-0204m,dart,34.307401,-119.553178,Carpinteria,F,8/25/2031,Chris Lowe,NA,NA,Carcharodon carcharias,213,2021-08-27,2022-11-27T21:38:02Z,2021-09-11T21:37:17Z,20
A69-1602-3230,2018-05,1276577,V13-1x-069k-3,dart,34.414803,-119.563216,Unknown,U,1/28/2020,Chris Lowe,NA,NA,Carcharodon carcharias,225,2018-04-15,2018-05-01T22:31:21Z,2018-04-30T04:23:45Z,19
A69-9004-14393,2021-47,1394089,V16TP-6x-BLU-2-0204m,dart,34.410823,-119.558748,Carpinteria,M,8/25/2031,Chris Lowe,NA,NA,Carcharodon carcharias,243,2021-08-27,2022-01-10T19:59:53Z,2021-09-13T14:32:39Z,19
A69-1602-12255,DDT-LS-23-01,1307114,V13-1x-BLU-1,NA,NA,NA,Channel Islands,F,NA,Chris Lowe,88,NA,Triakis semifasciata,NA,2023-09-22,2023-10-10T04:23:40Z,2023-10-08T14:53:19Z,18
A69-9006-7852,2020-31,1342090,V13P-1x-069k-3-0034m,dart,34.397899,-119.539882,Carpinteria,F,3/9/2021,Chris Lowe,NA,NA,Carcharodon carcharias,243,2020-07-15,2020-08-12T15:48:45Z,2020-08-08T19:31:38Z,18
A69-1602-54050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,396,2020-10-24,2021-07-22T06:18:48Z,2021-07-20T23:07:15Z,17
A69-9004-14394,2021-46,1394090,V16TP-6x-BLU-2-0204m,dart,34.408573,-119.558748,Carpinteria,F,8/25/2031,Chris Lowe,NA,NA,Carcharodon carcharias,228,2021-08-27,2021-10-29T11:36:38Z,2021-08-31T10:21:48Z,16
A69-9004-14395,2021-46,1394090,V16TP-6x-BLU-2-0204m,dart,34.408573,-119.558748,Carpinteria,F,8/25/2031,Chris Lowe,NA,NA,Carcharodon carcharias,228,2021-08-27,2021-10-30T05:56:50Z,2021-08-31T10:18:02Z,16
A69-1303-32547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,NA,2015-05-25T06:27:13Z,2015-05-23T20:12:26Z,14
A69-9001-62301,2021-63,1394098,V16-6x-BLU-2,dart,34.41,-119.558,Carpinteria,M,10/4/2031,Chris Lowe,NA,NA,Carcharodon carcharias,183,2021-10-06,2023-10-11T13:06:30Z,2021-11-06T05:20:31Z,14
A69-9004-12248,2022-45,1513472,V16TP-6x-BLU-2-0204m,dart,32.91503,-117.262,Torrey Pines,F,7/22/2032,Chris Lowe,NA,NA,Carcharodon carcharias,227,2022-07-25,2023-03-28T00:14:45Z,2023-02-23T14:27:10Z,14
A69-1601-46727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-25T04:17:50Z,2017-06-25T01:46:25Z,13
A69-9004-12247,2022-45,1513472,V16TP-6x-BLU-2-0204m,dart,32.91503,-117.262,Torrey Pines,F,7/22/2032,Chris Lowe,NA,NA,Carcharodon carcharias,227,2022-07-25,2023-03-28T00:11:25Z,2023-02-23T23:19:04Z,13
A69-1602-3234,2018-01,1276581,V13-1x-069k-3,dart,34.414214,-119.567053,Unknown,U,11/19/2019,Chris Lowe,NA,NA,Carcharodon carcharias,213,2018-02-04,2018-07-01T14:59:57Z,2018-05-24T22:05:28Z,12
A69-9001-12159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,427,2017-11-21,2020-07-15T01:00:57Z,2018-09-19T01:53:53Z,12
A69-9001-13032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-14T10:43:21Z,2020-03-11T22:42:07Z,12
A69-1604-64951,DDT-LS-23-07,1575861,V13-1x-BLU-1,NA,NA,NA,Channel Islands,M,NA,Chris Lowe,103,NA,Triakis semifasciata,NA,2023-09-22,2023-10-09T14:29:59Z,2023-10-06T19:10:17Z,11
A69-1602-41970,2021-30,1362760,V13-1x-BLU-3,dart,32.956213,-117.271898,Del Mar,M,5/25/2022,Chris Lowe,NA,NA,Carcharodon carcharias,160,2021-06-17,2022-03-08T20:35:36Z,2022-03-08T05:30:39Z,10
A69-9001-12053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,427,2017-12-07,2018-12-14T01:50:57Z,2018-12-13T21:45:15Z,10
A69-9001-24593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triakis semifasciata,NA,NA,2014-10-28T20:29:47Z,2014-10-28T20:09:03Z,10
A69-9001-4340,2021-05,1342061,V16-4x-069k-2,dart,34.410833,-119.553889,Carpinteria,F,3/23/2025,Chris Lowe,NA,NA,Carcharodon carcharias,213,2021-03-24,2021-03-25T18:02:16Z,2021-03-25T16:59:17Z,10
A69-9001-17757,2018-09,1247203,V16-6x-069k-1,gillnet,NA,NA,Unknown,M,8/1/2028,Chris Lowe,NA,NA,Carcharodon carcharias,135,2018-08-04,2019-11-04T14:10:46Z,2019-08-31T15:23:08Z,9
A69-9001-8556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2020-08-10T11:21:21Z,2019-10-13T20:49:48Z,9
A69-1601-37966,2017-13,1222964,V13-1x-069k-3,dart,33.439678,-117.645967,Unknown,U,3/17/2019,Chris Lowe,NA,NA,Carcharodon carcharias,275,2017-06-02,2018-06-02T19:15:43Z,2018-05-26T10:46:08Z,8
A69-1602-3233,2018-04,1276580,V13-1x-069k-3,dart,34.409333,-119.555333,Unknown,U,1/28/2020,Chris Lowe,NA,NA,Carcharodon carcharias,150,2018-04-15,2020-01-15T22:23:38Z,2018-05-14T02:52:23Z,8
A69-1602-58590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,335,2019-11-23,2020-12-28T07:45:07Z,2020-12-28T07:27:52Z,8
A69-9001-4319,2020-26,1342080,V16-6x-069k-1,gillnet,34.1505658,-119.2356498,Oxnard,F,6/27/2030,Chris Lowe,NA,NA,Carcharodon carcharias,161,2020-06-29,2020-11-16T16:55:06Z,2020-11-16T15:47:33Z,8
A69-9004-12181,2022-63,1513474,V16P-6x-BLU-2-0204m,dart,32.91071,-117.26122,Torrey Pines,F,8/30/2032,Chris Lowe,NA,NA,Carcharodon carcharias,243.8,2022-09-02,2023-09-26T14:41:22Z,2023-01-16T01:50:08Z,8
A69-9004-14388,2021-45,1394087,V16TP-6x-BLU-2-0204m,dart,34.404472,-119.55765,Carpinteria,F,8/25/2031,Chris Lowe,NA,NA,Carcharodon carcharias,228,2021-08-27,2021-11-28T02:50:09Z,2021-08-31T17:36:09Z,8
A69-1303-33545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,NA,2016-09-18T15:06:37Z,2016-09-08T15:12:01Z,7
A69-1601-19099,2014-04,1198170,V13-1x-069k-3,dart,33.882561,-118.414091,Unknown,U,11/3/2015,Chris Lowe,NA,NA,Carcharodon carcharias,NA,2014-11-06,2015-07-20T04:33:46Z,2015-07-16T19:34:10Z,7
A69-1602-12257,DDT-BR-23-02,1307116,V13-1x-BLU-1,NA,NA,NA,Channel Islands,M,NA,Chris Lowe,NA,68,Myliobatis californica,NA,2023-07-28,2023-09-13T20:51:04Z,2023-09-08T01:08:56Z,7
A69-1602-58589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,427,2019-11-12,2022-07-12T03:58:49Z,2021-07-03T13:50:39Z,7
A69-1602-58598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,366,2019-11-11,2020-02-07T02:01:25Z,2020-02-07T01:49:29Z,7
A69-9001-4985,2020-04,1334217,V16-6x-069k-2,dart,35.20901,-120.86189,Diablo Canyon,F,10/3/2025,Chris Lowe,NA,NA,Carcharodon carcharias,366,2020-01-15,2020-07-29T13:09:05Z,2020-07-25T00:00:02Z,7
A69-9001-8566,2019-14,1100361,V16-5x-069k-2,dart,35.20901,-120.86189,Diablo Canyon,M,3/24/2022,Chris Lowe,NA,NA,Carcharodon carcharias,274.32,2019-10-07,2020-02-22T12:07:32Z,2020-02-21T21:49:14Z,7
A69-9001-8568,2019-09,1301909,V16-4x-069k-2,dart,35.20901,-120.86189,Diablo Canyon,M,5/19/2021,Chris Lowe,NA,NA,Carcharodon carcharias,304.8,2019-09-25,2021-12-06T10:31:33Z,2020-11-11T12:41:31Z,7
A69-9002-3586,2021-27,1382584,V16TP-6x-BLU-2-0204m,dart,34.41252,-119.562,Carpinteria,F,5/31/2031,Chris Lowe,NA,NA,Carcharodon carcharias,185,2021-06-02,2021-11-23T09:42:48Z,2021-06-09T23:46:39Z,7
A69-9002-3587,2021-27,1382584,V16TP-6x-BLU-2-0204m,dart,34.41252,-119.562,Carpinteria,F,5/31/2031,Chris Lowe,NA,NA,Carcharodon carcharias,185,2021-06-02,2021-11-12T16:56:47Z,2021-06-23T14:49:40Z,7
A69-9004-12212,2022-17,1513505,V16P-6x-BLU-2-0204m,dart,34.40827,-119.555,Carpinteria,F,4/24/2032,Chris Lowe,NA,NA,Carcharodon carcharias,213.36,2022-04-27,2022-05-26T15:49:31Z,2022-05-18T05:26:00Z,7
A69-9004-12214,2022-13,1513507,V16P-6x-BLU-2-0204m,dart,34.409,-119.556,Carpinteria,F,4/24/2032,Chris Lowe,NA,NA,Carcharodon carcharias,182.88,2022-04-27,2022-09-27T16:33:54Z,2022-08-14T20:32:23Z,7
A69-9004-14389,2021-45,1394087,V16TP-6x-BLU-2-0204m,dart,34.404472,-119.55765,Carpinteria,F,8/25/2031,Chris Lowe,NA,NA,Carcharodon carcharias,228,2021-08-27,2021-11-23T14:26:29Z,2021-08-28T15:02:04Z,7
A69-1303-46865,2015-19,1096832,V16-6x-069k-1,gillnet,34.3125,-119.49833,Unknown,F,4/5/2024,Chris Lowe,NA,NA,Carcharodon carcharias,160,2015-12-16,2018-05-15T22:11:04Z,2016-03-03T20:20:31Z,6
A69-1303-58458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,518,2011-12-14,2014-08-08T21:32:17Z,2014-08-08T21:20:55Z,6
A69-1602-3236,2018-06,1276583,V13-1x-069k-3,dart,34.411667,-119.559167,Unknown,U,1/28/2020,Chris Lowe,NA,NA,Carcharodon carcharias,210,2018-04-15,2019-10-13T14:00:41Z,2018-06-03T21:38:55Z,6
A69-1602-54051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,518,2020-11-12,2021-04-03T12:52:32Z,2021-03-29T21:24:55Z,6
A69-9001-24598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2022-03-10T11:18:09Z,2019-06-02T18:19:52Z,6
A69-9001-24657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudobatos productus,NA,NA,2016-05-30T22:00:53Z,2016-05-30T21:50:15Z,6
A69-9001-4708,2022-58,1336192,V16-6x,gillnet,34.152527,-119.230898,Ventura,M,8/22/2032,Chris Lowe,NA,NA,Carcharodon carcharias,156.5,2022-08-25,2022-08-28T21:56:59Z,2022-08-28T21:27:30Z,6
A69-9004-12219,2023-34,1513512,V16P-6x-BLU-2-0204m,dart,35.2091,-120.8613,Diablo Canyon,M,9/12/2033,Chris Lowe,NA,NA,Carcharodon carcharias,335.3,2023-09-15,2023-10-20T06:53:55Z,2023-10-20T00:26:28Z,6
A69-1303-6347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,488,2014-11-16,2016-06-26T07:41:55Z,2016-06-23T22:59:47Z,5
A69-1601-62065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-23T05:00:39Z,2023-02-20T19:56:52Z,5
A69-1602-3231,2018-07,1276578,V13-1x-069k-3,dart,34.4115,-119.559167,Unknown,U,1/28/2020,Chris Lowe,NA,NA,Carcharodon carcharias,175,2018-04-15,2018-05-25T01:38:36Z,2018-05-25T01:29:35Z,5
A69-9001-12062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,396,2018-01-07,2021-07-24T06:29:31Z,2018-03-02T19:14:50Z,5
A69-9001-24387,2016-2MX,1195912,V16-6x-069k-2,gillnet,27.86708,-114.40843,Unknown,F,7/13/2026,Chris Lowe,NA,NA,Carcharodon carcharias,193,2016-07-15,2018-01-05T10:24:56Z,2018-01-04T18:44:51Z,5
A69-9001-26866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2014-09-02T19:38:57Z,2014-06-17T18:22:54Z,5
A69-9001-26867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2016-04-14T07:51:26Z,2014-04-26T07:40:13Z,5
A69-9001-4705,2021-13,1336189,V16-6x,gillnet,34.410776,-119.557443,SantaBarbara,M,8/9/2031,Chris Lowe,NA,NA,Carcharodon carcharias,199,2021-08-11,2021-09-25T15:48:53Z,2021-09-16T17:45:46Z,5
A69-9007-606,2021-31,1362764,V13TP-1x-BLU-3-0034m,dart,34.413109,-119.5629,Carpinteria,F,4/8/2022,Chris Lowe,NA,NA,Carcharodon carcharias,213,2021-07-23,2022-05-07T00:51:23Z,2021-08-03T08:26:26Z,5
A69-9007-607,2021-31,1362764,V13TP-1x-BLU-3-0034m,dart,34.413109,-119.5629,Carpinteria,F,4/8/2022,Chris Lowe,NA,NA,Carcharodon carcharias,213,2021-07-23,2022-05-07T00:50:34Z,2021-08-03T08:25:28Z,5
A69-1303-6338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,274,2015-09-19,2018-05-24T13:50:44Z,2018-05-07T22:16:02Z,4
A69-1601-57523,2017-01,1219516,V16-6x-069k-2,dart,33.318807,-117.865563,Unknown,F,4/21/2022,Chris Lowe,NA,NA,Carcharodon carcharias,NA,2017-04-22,2018-09-28T07:39:53Z,2018-09-28T06:18:01Z,4
A69-1602-58591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,366,2020-01-15,2021-07-29T01:49:05Z,2021-07-29T01:41:50Z,4
A69-1602-9671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-05T19:44:31Z,2016-06-07T22:02:43Z,4
A69-9001-4325,2020-11,1342046,V16-4x-069k-2,dart,34.404,-119.5475,Carpinteria,F,11/26/2021,Chris Lowe,NA,NA,Carcharodon carcharias,197,2020-04-03,2021-05-09T10:29:37Z,2021-05-09T10:16:18Z,4
A69-9001-55586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,366,2022-11-21,2023-06-21T03:17:54Z,2023-06-20T14:02:13Z,4
A69-9001-63063,2021-40,1382609,V16-6x-BLU-2,dart,34.03517,-118.543293,Santa Monica,M,8/23/2031,Chris Lowe,NA,NA,Carcharodon carcharias,192,2021-08-25,2021-11-25T07:15:39Z,2021-09-11T17:00:24Z,4
A69-9004-12196,2022-82,1513489,V16P-6x-BLU-2-0204m,dart,32.9193,-117.26043,Torrey Pines,M,10/7/2032,Chris Lowe,NA,NA,Carcharodon carcharias,213.4,2022-10-10,2023-10-07T20:24:35Z,2023-10-07T14:36:23Z,4
A69-9004-12210,2022-21,1513503,V16P-6x-BLU-2-0204m,dart,34.4039279,-119.549353,Carpinteria,F,5/2/2032,Chris Lowe,NA,NA,Carcharodon carcharias,182.9,2022-05-05,2022-05-23T07:26:55Z,2022-05-20T15:05:37Z,4
A69-9004-12213,2022-12,1513506,V16P-6x-BLU-2-0204m,dart,34.408973,-119.555042,Carpinteria,F,4/12/2032,Chris Lowe,NA,NA,Carcharodon carcharias,268.2,2022-04-15,2022-05-25T05:02:18Z,2022-05-17T10:40:31Z,4
A69-9004-12231,2022-28,1513464,V16TP-6x-BLU-2-0204m,dart,34.4072883,-119.5527697,Carpinteria,M,6/12/2032,Chris Lowe,NA,NA,Carcharodon carcharias,274,2022-06-15,2022-07-30T09:19:56Z,2022-07-11T03:36:21Z,4
A69-9004-12239,2022-31,1513468,V16TP-6x-BLU-2-0204m,dart,32.951165,-117.269957,Del Mar,F,6/20/2032,Chris Lowe,NA,NA,Carcharodon carcharias,213.4,2022-06-23,2023-02-12T02:50:16Z,2023-02-02T07:28:29Z,4
A69-1303-4097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-01T21:52:50Z,2017-08-28T00:36:13Z,3
A69-1303-6156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,NA,2016-06-10T13:25:42Z,2016-06-10T13:22:06Z,3
A69-1303-6349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,518,2015-12-02,2017-08-29T18:49:47Z,2017-08-29T18:43:12Z,3
A69-1601-62006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-29T18:44:19Z,2020-08-12T14:57:15Z,3
A69-1602-2228,2017-29,1274018,V13-1x-069k-3,dart,34.41322,-119.56049,Unknown,U,6/8/2019,Chris Lowe,NA,NA,Carcharodon carcharias,274,2017-08-24,2018-05-25T01:39:36Z,2018-05-25T01:34:06Z,3
A69-1602-33464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-02T17:12:49Z,2014-10-23T19:46:02Z,3
A69-1602-8660,2020-10,1294998,V13-1x-069k-3,dart,34.404,-119.5475,Carpinteria,U,12/21/2025,Chris Lowe,NA,NA,Carcharodon carcharias,183,2020-04-03,2020-07-20T19:45:41Z,2020-07-20T19:32:16Z,3
A69-9001-12145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,457,2017-11-01,2018-06-30T03:38:02Z,2018-06-30T03:35:28Z,3
A69-9001-12151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,2017-09-23,2018-11-19T09:54:55Z,2018-11-19T07:50:10Z,3
A69-9001-13026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-16T04:03:41Z,2018-01-16T00:01:35Z,3
A69-9001-4706,2021-64,1336190,V16-6x,gillnet,34.161015,-119.237388,Oxnard,M,10/12/2031,Chris Lowe,NA,NA,Carcharodon carcharias,163,2021-10-14,2022-05-05T23:43:21Z,2022-05-05T23:33:42Z,3
A69-9001-55582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,381,2022-11-05,2023-09-02T21:16:47Z,2023-09-02T21:12:08Z,3
A69-9004-12199,2022-79,1513492,V16P-6x-BLU-2-0204m,dart,32.91688,-117.26067,Torrey Pines,M,9/23/2032,Chris Lowe,NA,NA,Carcharodon carcharias,243.8,2022-09-26,2023-03-20T12:01:35Z,2023-03-19T05:58:06Z,3
A69-9004-12205,2022-44,1513498,V16P-6x-BLU-2-0204m,dart,32.91605,-117.26111,Torrey Pines,M,7/15/2032,Chris Lowe,NA,NA,Carcharodon carcharias,198.1,2022-07-18,2023-07-21T01:52:08Z,2023-07-21T01:46:50Z,3
A69-9004-12240,2022-31,1513468,V16TP-6x-BLU-2-0204m,dart,32.951165,-117.269957,Del Mar,F,6/20/2032,Chris Lowe,NA,NA,Carcharodon carcharias,213.4,2022-06-23,2023-02-13T06:20:35Z,2023-02-02T07:25:20Z,3
A69-9004-14390,2021-50,1394088,V16TP-6x-BLU-2-0204m,dart,34.412137,-119.568694,Carpinteria,F,9/6/2031,Chris Lowe,NA,NA,Carcharodon carcharias,198,2021-09-08,2021-10-05T09:24:58Z,2021-09-19T05:54:16Z,3
A69-1303-6165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,427,2015-11-07,2016-07-15T02:38:09Z,2016-07-15T02:35:06Z,2
A69-1601-27074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seriola lalandi,NA,NA,2015-03-30T22:58:34Z,2015-03-30T22:57:39Z,2
