Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-9001-24596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2019-08-11T12:46:56Z,2016-07-20T19:36:13Z,594
A69-9001-4324,2020-12,1342045,V16-4x-069k-2,dart,34.404,-119.5475,Carpinteria,F,4/25/2024,Chris Lowe,NA,NA,Carcharodon carcharias,230,2020-04-26,2021-11-22T03:45:27Z,2020-07-20T19:33:24Z,585
A69-9001-24661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2016-08-11T09:57:42Z,2015-07-10T15:01:28Z,581
A69-9002-4561,2021-35,1370687,V16P-6x-BLU-2-0680m,dart,34.4136,-119.56364,Carpinteria,F,11/18/2027,Chris Lowe,NA,NA,Carcharodon carcharias,183,2021-08-02,2022-02-15T23:00:03Z,2021-08-28T00:32:31Z,557
A69-9001-24665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2022-08-18T01:07:44Z,2016-10-01T05:41:42Z,485
A69-9006-7849,2020-21,1342087,V13P-1x-069k-3-0034m,dart,34.404,-119.5475,Carpinteria,U,1/13/2021,Chris Lowe,NA,NA,Carcharodon carcharias,183,2020-05-21,2021-01-15T05:54:41Z,2020-07-20T19:34:04Z,480
A69-1602-16718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-08T21:03:51Z,2020-10-15T17:51:42Z,464
A69-9001-4326,2020-15,1342047,V16-4x-069k-2,dart,34.404,-119.5475,Carpinteria,F,12/19/2021,Chris Lowe,NA,NA,Carcharodon carcharias,217,2020-04-26,2020-12-12T14:40:18Z,2020-07-20T19:30:07Z,436
A69-9001-22770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2019-08-07T02:34:09Z,2017-01-26T13:22:13Z,401
A69-1602-8666,2020-29,1295004,V13-1x-069k-3,dart,32.962613,-117.268841,Del Mar,U,2/23/2022,Chris Lowe,NA,NA,Carcharodon carcharias,227,2020-07-01,2022-02-06T14:45:54Z,2020-11-21T10:58:05Z,395
A69-9004-12207,2022-42,1513500,V16P-6x-BLU-2-0204m,dart,32.916112,-117.26228,Torrey Pines,F,7/15/2032,Chris Lowe,NA,NA,Carcharodon carcharias,213.4,2022-07-18,2023-10-26T17:43:20Z,2023-01-27T21:58:42Z,379
