Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Transmitter.Type,Sensor.Precision
2016-09-20 15:39:04,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-20 15:40:00,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-20 15:41:18,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-20 15:42:21,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-20 15:43:53,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:08:19,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:09:33,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:10:28,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:11:44,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:12:44,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:14:09,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:15:26,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:16:26,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:17:53,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:19:13,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:20:20,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:21:01,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:21:50,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:22:53,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:25:58,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:27:28,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:31:26,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:33:08,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-21 00:34:27,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:39:13,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:40:01,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:41:04,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:42:36,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:44:07,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:45:35,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:46:58,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:50:01,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:51:09,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:51:44,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:52:20,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:52:59,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:53:44,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:54:40,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:55:57,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 12:58:29,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:05:32,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:06:06,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:06:40,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:08:24,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:09:44,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:13:16,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:14:23,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:15:05,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:15:54,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:17:00,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:17:38,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:18:21,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:19:13,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:20:24,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:21:11,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:22:12,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:23:41,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:25:04,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:26:17,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:28:22,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:33:06,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-25 13:39:46,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 00:42:05,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 00:50:39,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 00:51:21,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 00:53:50,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 00:54:28,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 00:57:37,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 00:58:50,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 01:03:23,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 01:04:16,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 01:05:28,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 01:07:30,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 01:08:16,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
2016-09-26 01:09:16,VR2W-111372,A69-1601-27071,,NA,,,WCO_Winfield Scott,34.00868,-119.39558,NA,NA
