"","Transmitter","Max_Detection_Span","Average_RI","NA","SE_RI","Max_MDD","Sex","TNL_cm"
"80","A69-9002-10990",0.180821917808219,0.528409090909091,NA,0.058221311170225,0,"U",213.4
"81","A69-9002-10991",0.156164383561644,0.588235294117647,NA,0.0716826918056114,0,"U",213.4
"82","A69-9002-3586",0.457534246575342,1,NA,0,0,"F",185
"83","A69-9002-3587",0.389041095890411,1,NA,0,0,"F",185
"84","A69-9002-3590",0.63013698630137,0.339912280701754,NA,0.0173768412330553,0,"F",183
"85","A69-9002-3591",0.465753424657534,0.385714285714286,NA,0.0222070076781025,0,"F",183
"86","A69-9002-4559",0.224657534246575,1,NA,0,0,"F",274
"87","A69-9002-4560",0.202739726027397,0.675595238095238,NA,0.0354312628720923,0,"F",305
"88","A69-9002-9538",0.391780821917808,0.246753246753247,NA,0.0186197516602654,0,"F",243.8
"89","A69-9004-12181",0.693150684931507,0.5,NA,0,0,"F",243.8
"90","A69-9004-12186",0.572602739726027,0.61658615136876,NA,0.00879246326119688,0,"M",198.1
"91","A69-9004-12212",0.0219178082191781,1,NA,0,0,"F",213.36
"92","A69-9004-12213",0.0219178082191781,1,NA,0,0,"F",268.2
"93","A69-9004-12214",0.120547945205479,0.5,NA,0,0,"F",182.88
"94","A69-9004-12231",0.0520547945205479,0.625,NA,0.125,0,"M",274
"95","A69-9004-12234",0.36986301369863,0.258928571428571,NA,0.0143968888362474,0,"F",213.4
"96","A69-9004-12239",0.0273972602739726,0.333333333333333,NA,0,0,"F",213.4
"97","A69-9004-12240",0.0301369863013699,0.333333333333333,NA,0,0,"F",213.4
"98","A69-9004-12247",0.0904109589041096,0.802197802197802,NA,0.0549450549450549,0,"F",227
"99","A69-9004-12248",0.0904109589041096,0.616071428571429,NA,0.0711274559656867,0,"F",227
"100","A69-9004-14386",1.21095890410959,0.75,NA,0.0764719112901873,0,"F",213
"101","A69-9004-14387",1.21095890410959,0.827272727272727,NA,0.0563111346773197,0,"F",213
"102","A69-9004-14388",0.243835616438356,1,NA,0,0,"F",228
"103","A69-9004-14389",0.238356164383562,1,NA,0,0,"F",228
"104","A69-9004-14390",0.0438356164383562,1,NA,0,0,"F",198
"105","A69-9004-14391",0.0356164383561644,1,NA,0,0,"F",198
"106","A69-9004-14392",0.326027397260274,0.496031746031746,NA,0.0656862911001859,0,"M",243
"107","A69-9004-14393",0.326027397260274,0.394736842105263,NA,0.0442439305716438,0,"M",243
"108","A69-9004-14394",0.161643835616438,1,NA,0,0,"F",228
"109","A69-9004-14395",0.164383561643836,1,NA,0,0,"F",228
"110","A69-9006-7850",0.652054794520548,0.416845878136201,NA,0.0102691160125308,0,"F",243
"111","A69-9006-7851",0.471232876712329,0.920798514391829,NA,0.00557433648667184,0,"M",155
"112","A69-9006-7853",0.301369863013699,1,NA,0,0,"M",155
"113","A69-9006-7854",0.613698630136986,1,NA,0,0,"U",183
"114","A69-9007-606",0.758904109589041,0.466666666666667,NA,0.0816496580927726,0,"F",213
"115","A69-9007-607",0.758904109589041,0.533333333333333,NA,0.0816496580927726,0,"F",213
"116","A69-9007-608",0.221917808219178,1,NA,0,0,"F",289
"117","A69-9007-609",0.221917808219178,1,NA,0,0,"F",289
"118","A69-9007-610",0.441095890410959,1,NA,0,0,"F",168
"119","A69-9007-611",0.441095890410959,1,NA,0,0,"F",168
